Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v
4.0,168.8,50,TF,6.9,767.570529,22.095813724785508,IT,CAS02,0.452971,-0.438084,-0.111564,0.454492,0.471494,0.5149600000000001,0.8083140000000001,0.112361,0.17709,0.261645,0.286904
4.0,174.8,50,TF,6.9,790.1021139999999,22.095813724785508,IT,CAS05,-0.282756,0.29676,0.122255,0.283092,0.306836,0.384997,0.489785,0.122557,0.140513,0.261626,0.401557
4.0,170.0,50,TF,6.9,1007.237148,22.095813724785508,IT,CAS06,-0.29993200000000003,-0.229757,-0.102181,0.299944,0.307965,0.320729,0.403161,0.102264,0.143951,0.318756,0.214852
4.0,183.2,50,TF,6.9,846.8505869999999,22.095813724785508,IT,CAS07,-0.14063599999999998,0.167156,0.069965,0.140765,0.15098399999999998,0.184519,0.209826,0.070107,0.098378,0.221216,0.186938
4.0,176.9,50,TF,6.9,335.974567,22.095813724785508,IT,CAS08,0.216399,0.169494,-0.079792,0.217256,0.228699,0.274437,0.302958,0.079854,0.115732,0.15938,0.14643599999999998
4.0,185.2,50,TF,6.9,410.608481,22.095813724785508,IT,MIR01,0.23135,0.225061,-0.061954,0.231654,0.24077,0.254314,0.329986,0.062197,0.074264,0.093689,0.121103
4.0,181.3,50,TF,6.9,710.421612,27.350797871626764,IT,MIR02,-0.247884,0.225121,-0.123608,0.248191,0.26135,0.354135,0.445895,0.124585,0.164186,0.325434,0.337967
4.0,175.3,50,TF,6.9,798.736716,27.350797871626764,IT,MIR03,-0.347516,-0.327287,0.143747,0.347708,0.405713,0.607216,0.606176,0.145094,0.176536,0.331344,0.34930500000000003
4.0,172.8,50,TF,6.9,916.891901,27.350797871626764,IT,MIR04,0.328675,0.310269,0.158654,0.329527,0.354185,0.368351,0.586937,0.15876300000000002,0.213026,0.273497,0.315629
4.0,171.4,50,TF,6.9,1000.8097359999999,27.350797871626764,IT,MIR05,0.384144,0.313911,0.098525,0.384255,0.403935,0.478596,0.842736,0.099264,0.179501,0.264172,0.265261
4.0,167.3,50,TF,6.9,1145.949702,27.644134670461,IT,MIR06,0.465604,-0.387168,0.324531,0.466168,0.5349470000000001,0.617448,0.838202,0.33915100000000004,0.689558,0.355215,0.287245
4.0,161.7,50,TF,6.9,804.300694,27.644134670461,IT,MIR07,0.418627,0.4355810000000001,-0.353455,0.419167,0.489961,0.706851,0.955429,0.35462,0.415141,0.5108159999999999,0.6581319999999999
4.0,177.9,50,TF,6.9,1417.320706,27.644134670461,IT,MIR08,0.326491,0.28999,-0.104418,0.326939,0.356506,0.356159,0.697386,0.10446400000000003,0.109154,0.190313,0.199841
4.5,204.4,50,NF,44.08,1247.096671,27.644134670461,IT,BULG,0.2373,0.373832,0.133722,0.237301,0.242612,0.277355,0.418046,0.134431,0.149174,0.234315,0.399888
4.5,142.9,50,NF,44.08,832.288417,27.644134670461,IT,CELI,0.095394,-0.157105,0.081885,0.095463,0.103574,0.111129,0.190734,0.082206,0.104807,0.17443699999999998,0.230668
4.5,81.8,50,NF,44.08,919.821183,27.644134670461,IT,EPOZ,1.019434,-1.0146540000000002,0.680194,1.02151,1.14366,2.36781,2.20929,0.689447,1.06261,2.69402,2.58954
4.5,83.2,50,NF,44.08,1318.656565,27.644134670461,IT,EVRN,1.672094,3.040581,1.083163,1.67582,1.84103,2.84841,4.08754,1.08348,1.16214,2.08717,2.76942
4.5,150.8,50,NF,44.08,767.570529,27.644134670461,IT,HVZN,-0.439361,-0.608432,-0.392558,0.441186,0.5401279999999999,0.843356,1.20043,0.393408,0.422786,0.7997449999999999,1.06121
4.5,73.0,50,NF,44.08,790.1021139999999,27.644134670461,IT,ILLI,2.403335,2.414753,1.6610349999999998,2.40336,2.47873,3.8027,5.86975,1.6729599999999998,1.93432,3.9366,5.69534
4.5,40.3,50,NF,44.08,1007.237148,27.644134670461,IT,JOPP,-2.990688,-3.208406,-1.12762,2.99655,3.15462,6.3268900000000015,8.73348,1.13422,2.6227400000000003,2.50447,3.74535
4.5,209.1,50,NF,44.08,846.8505869999999,27.644134670461,IT,MGR,-0.17615799999999998,-0.17993499999999998,0.114799,0.176627,0.187494,0.210477,0.393192,0.114893,0.17338199999999998,0.223731,0.343916
4.5,164.5,50,NF,44.08,335.974567,27.644134670461,IT,PIPA,-0.113236,0.105746,-0.10255999999999997,0.113804,0.121167,0.14467,0.215056,0.102745,0.138131,0.246598,0.316278
4.5,186.8,50,NF,44.08,543.4984599999999,33.65885979345974,IT,SALB,0.232427,-0.197036,0.113135,0.232687,0.240443,0.248304,0.314737,0.11332,0.120537,0.169994,0.180918
4.5,118.7,50,NF,44.08,543.4984599999999,25.545758370461744,IT,SERS,-0.17607,-0.15494000000000002,0.07449800000000001,0.176119,0.180597,0.190454,0.268718,0.07476100000000001,0.088526,0.118256,0.187379
4.5,213.6,50,NF,44.08,543.4984599999999,27.82164469361706,IT,SIRI,-0.281127,0.259037,-0.123981,0.281846,0.29183200000000004,0.31737600000000005,0.351416,0.124468,0.145467,0.213853,0.484391
4.5,194.2,50,NF,44.08,543.4984599999999,29.408603361600058,IT,T0701,-0.185548,0.167489,-0.078766,0.186081,0.191766,0.227193,0.387437,0.07911499999999999,0.092946,0.158055,0.2905
4.1,25.6,50,SS,25.14,543.4984599999999,28.3005971924808,IT,EPOZ,-1.36377,1.592932,1.081997,1.36377,1.37547,2.22051,2.00595,1.0921,1.65559,2.32724,1.72782
4.1,20.6,50,SS,25.14,543.4984599999999,28.42161812909285,IT,EVRN,4.176753,-5.1375,-1.592754,4.19232,4.40736,5.4261599999999985,8.57161,1.60007,1.67583,1.98482,3.63099
4.1,122.7,50,SS,25.14,1145.949702,22.620520820043332,IT,JOPP,0.045936000000000005,-0.056512,0.021168,0.046013,0.050444,0.07053,0.097097,0.021203,0.035476,0.045136,0.044752
